,material_id,material_name,current,unit,jan,feb,mar,apr,may,jun,jul
11,0102010100300000,    คอนกรีตหยาบ ตราซีแพค,2460,ลบ.ม. ,2410,2410,2410,2460,2460,2460,2460
12,0200000000000000,วัสดุก่อ,กรกฎาคม,หน่วย,มกราคม,กุมภาพันธ์,มีนาคม,เมษายน,พฤษภาคม,มิถุนายน,กรกฎาคม
13,0201000000000000,คอนกรีตบล็อก,x,x,x,x,x,x,x,x,x
14,0201010000000000, คอนกรีตบล็อกก่อผนัง,x,x,x,x,x,x,x,x,x
15,0201010100100000,    ชนิดธรรมดา ขนาด 19 x 39 x 7 ซม.,7,ก้อน ,7,7,7,x,x,x,x
16,0201010100300000,    ชนิดกันฝน ขนาด 19 x 39 x 9 ซม.,14,ก้อน ,14,14,14,x,x,x,x
17,0201010100400000,    ชนิดช่องลม ขนาด 19 x 19 x 9 ซม. ตราดี เอ (DA-22),11,ก้อน ,11,11,11,x,x,x,x
18,0201010100600000,    ชนิดกันฝนลิ้นเดี่ยว ขนาด 19 x 19 x 20 ซม. ตราดี เอ (DA-101),22,ก้อน ,22,22,22,x,x,x,x
19,0201010100700000,    ชนิดกันฝนลิ้นคู่ ขนาด 39 x 9 x 9 ซม. ตราดี เอ (DA-109),23,ก้อน ,23,23,23,x,x,x,x
20,0201010101500000,    ชนิดกันฝนกระจก แบบใส ขนาด 19x19x9 ซม.(เบอร์ DA-302) ตราดีเอ,65,ก้อน ,65,65,65,x,x,x,x
